reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,text_2.started,text_3.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
902,2460,7,0,0,0,0,16.130936600035056,17.10635760007426,17.10635760007426,17.10635760007426,1.0148499999195337,17.139830600004643,[-0.45925925925925926],[-0.3074074074074074],[1],[0],[0],[0.9010195999871939],['text_2'],564408,001,2022-12-03_08h51.31.727,Delay Discounting,2022.2.2,59.93964072690091,
1230,2870,13,0,1,1,1,18.02487440011464,19.023953899974003,19.023953899974003,19.023953899974003,1.0149203999899328,19.023953899974003,[0.5009259259259259],[-0.31203703703703706],[1],[0],[0],[1.601208999985829],['text_3'],564408,001,2022-12-03_08h51.31.727,Delay Discounting,2022.2.2,59.93964072690091,
2214,4100,21,0,2,2,2,20.64115189993754,21.641516800038517,21.641516800038517,21.641516800038517,1.0154138000216335,21.641516800038517,[-0.5203703703703704],[-0.3055555555555556],[1],[0],[0],[1.1013801000081003],['text_2'],564408,001,2022-12-03_08h51.31.727,Delay Discounting,2022.2.2,59.93964072690091,
3280,4510,62,0,3,3,3,22.75858199992217,23.759491099976003,23.759491099976003,23.759491099976003,1.015373099828139,23.759491099976003,[-0.5203703703703704],[-0.3055555555555556],[1],[0],[0],[0.7336978001985699],['text_2'],564408,001,2022-12-03_08h51.31.727,Delay Discounting,2022.2.2,59.93964072690091,
4018,4920,89,0,4,4,4,24.509163500042632,25.50959479995072,25.50959479995072,25.50959479995072,1.0149868000298738,25.50959479995072,"[0.3768518518518518, 0.07685185185185185, 0.5092592592592593]","[-0.1361111111111111, 0.21574074074074073, -0.31666666666666665]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.6176938998978585, 1.4513820998836309, 2.8185923998244107]",['text_3'],564408,001,2022-12-03_08h51.31.727,Delay Discounting,2022.2.2,59.93964072690091,
,,,,,,,28.34416970005259,29.344575399998575,29.344575399998575,29.344575399998575,1.015095500042662,29.344575399998575,,,,,,,,,,,,,,
